SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
3,5,3,/,1,414.481,1
3,5,2,Z,1,420.483,2
3,5,1,Z,1,435.021,1
3,5,2,Z,1,388.868,2
3,5,1,Z,1,430.191,1
3,5,3,/,1,341.06,1
3,5,2,Z,1,376.559,2
3,5,4,/,1,449.015,2
3,5,3,/,1,641.224,1
3,5,3,/,1,467.67,1
3,5,4,/,1,542.901,2
3,5,1,Z,1,415.27,1
3,5,4,/,1,603.589,2
3,5,1,Z,1,256.288,1
3,5,1,Z,1,320.204,1
3,5,3,/,1,294.411,1
3,5,3,/,1,298.445,1
3,5,2,Z,1,391.564,2
3,5,4,/,1,357.032,2
3,5,1,Z,1,555.866,1
3,5,2,Z,1,433.286,2
3,5,4,/,1,421.638,2
3,5,1,Z,1,498.154,1
3,5,1,Z,1,681.604,1
3,5,3,/,1,414.857,1
3,5,1,Z,1,297.327,1
3,5,2,Z,1,411.865,2
3,5,4,/,1,411.23,2
3,5,3,/,1,284.923,1
3,6,1,Z,1,407.684,1
3,6,4,/,1,444.081,2
3,6,2,Z,1,384.576,2
3,6,4,/,1,465.835,2
3,6,4,/,1,401.757,2
3,6,2,Z,1,545.21,2
3,6,2,Z,1,431.305,2
3,6,3,/,1,302.61,1
3,6,3,/,1,367.555,1
3,6,3,/,1,461.012,1
3,6,3,/,1,329.11,1
3,6,3,/,1,364.43,1
3,6,2,Z,1,386.392,2
3,6,1,Z,1,445.9,1
3,6,1,Z,1,331.822,1
3,6,3,/,1,263.132,1
3,6,1,Z,1,373.269,1
3,6,2,Z,1,455.231,2
3,6,1,Z,1,355.389,1
3,6,3,/,1,302.669,1
3,6,4,/,1,393.872,2
3,6,4,/,1,470.933,2
3,6,4,/,1,556.637,2
3,6,3,/,1,301.557,1
3,6,1,Z,1,338.398,1
3,6,2,Z,1,568.534,2
3,6,2,Z,1,332.743,2
3,6,1,Z,1,325.001,1
3,6,1,Z,1,344.843,1
3,6,1,Z,1,328.227,1
3,6,2,Z,1,414.149,2
3,6,3,/,1,305.12,1
3,6,2,Z,1,427.362,2
3,6,4,/,1,378.826,2
3,6,4,/,1,610.976,2
3,6,2,Z,1,451.597,2
3,6,3,/,1,832.65,1
3,7,2,Z,1,447.254,2
3,7,2,Z,1,634.028,2
3,7,3,/,1,378.208,1
3,7,1,Z,1,441.636,1
3,7,1,Z,1,353.616,1
3,7,3,/,1,316.841,1
3,7,2,Z,1,423.579,2
3,7,4,/,1,336.841,2
3,7,4,/,1,284.419,2
3,7,2,Z,1,272.978,2
3,7,2,Z,1,360.319,2
3,7,2,Z,1,410.453,2
3,7,1,Z,1,516.717,1
3,7,4,/,1,405.95,2
3,7,4,/,1,401.415,2
3,7,3,/,1,544.755,1
3,7,2,Z,1,379.758,2
3,7,1,Z,1,706.766,1
3,7,4,/,1,345.866,2
3,7,2,Z,1,453.584,2
3,7,3,/,1,466.456,1
3,7,1,Z,1,459.557,1
3,7,1,Z,1,419.273,1
3,7,4,/,1,424.505,2
3,7,3,/,1,585.289,1
3,7,1,Z,1,333.954,1
3,7,3,/,1,314.924,1
3,7,1,Z,1,292.311,1
3,7,2,Z,1,614.699,2
3,7,3,/,1,538.381,1
3,7,3,/,1,473.187,1
3,7,3,/,1,303.662,1
3,7,1,Z,1,310.96,1
3,7,4,/,1,400.361,2
3,7,4,/,1,395.925,2
3,7,2,Z,1,305.283,2
3,7,4,/,1,337.439,2
3,8,2,Z,1,327.143,2
3,8,4,/,1,356.466,2
3,8,1,Z,1,350.899,1
3,8,2,Z,1,355.1,2
3,8,1,Z,1,466.696,1
3,8,1,Z,1,447.562,1
3,8,4,/,1,409.272,2
3,8,1,Z,1,296.158,1
3,8,2,Z,1,372.103,2
3,8,1,Z,1,292.115,1
3,8,4,/,1,284.489,2
3,8,4,/,1,235.058,2
3,8,3,/,1,339.698,1
3,8,4,/,1,457.445,2
3,8,4,/,1,401.989,2
3,8,2,Z,1,291.801,2
3,8,3,/,1,367.815,1
3,8,3,/,1,505.396,1
3,8,2,Z,1,402.065,2
3,8,2,Z,1,431.176,2
3,8,1,Z,1,547.155,1
3,8,4,/,1,321.143,2
3,8,2,Z,1,410.623,2
3,8,3,/,1,650.117,1
3,8,4,/,1,415.824,2
3,8,1,Z,1,512.89,1
3,8,4,/,1,624.412,2
3,8,1,Z,1,371.043,1
3,8,3,/,1,628.207,1
3,8,1,Z,1,566.085,1
3,8,3,/,1,497.168,1
3,8,2,Z,1,552.607,2
